date	ouv	haut	bas	clot	vol	devise	
16/01/2025 00:00	157.16	158.62	156.12	158.28	774718	EUR	
17/01/2025 00:00	159.24	161.56	159	161.5	1089381	EUR	
20/01/2025 00:00	161.82	162.48	161.22	162.02	628356	EUR	
21/01/2025 00:00	161.8	161.8	160.52	160.86	512402	EUR	
22/01/2025 00:00	160.52	162.4	160.24	162.4	761824	EUR	
23/01/2025 00:00	162.6	162.66	161.58	161.72	579559	EUR	
24/01/2025 00:00	163.1	164.58	163.08	163.76	818607	EUR	
27/01/2025 00:00	163	166.62	162.82	165.94	767685	EUR	
28/01/2025 00:00	165.56	167.56	165.24	166.7	623747	EUR	
29/01/2025 00:00	166.2	167.58	165.3	167.38	562518	EUR	
30/01/2025 00:00	167.72	169.58	167.06	169.14	557393	EUR	
31/01/2025 00:00	169.7	170.02	168.22	168.6	779461	EUR	
03/02/2025 00:00	165.46	167.9	164.86	167.8	840957	EUR	
04/02/2025 00:00	167.34	168.48	166.3	168.28	630442	EUR	
05/02/2025 00:00	167.64	168.16	166.54	167.64	510080	EUR	
06/02/2025 00:00	167.92	170.44	166	170.32	1043615	EUR	
07/02/2025 00:00	171	171.44	168.82	169.12	634754	EUR	
10/02/2025 00:00	169.24	169.94	168.04	169.78	787945	EUR	
11/02/2025 00:00	169.7	171.22	169.54	170.64	463935	EUR	
12/02/2025 00:00	170.44	171.08	169.22	170.82	649125	EUR	
13/02/2025 00:00	171.44	173.92	170.82	173.08	743225	EUR	
14/02/2025 00:00	171.76	174.84	171.48	174.1	1018479	EUR	
17/02/2025 00:00	173.78	174.34	173.18	174	436001	EUR	
18/02/2025 00:00	173.4	174.76	172.6	174.36	871303	EUR	
19/02/2025 00:00	174.24	174.44	171.72	172.4	702505	EUR	
20/02/2025 00:00	172.04	173.36	171.94	172.78	722335	EUR	
21/02/2025 00:00	177.64	179.8	177.06	178.4	1444508	EUR	
24/02/2025 00:00	179.02	179.44	174.3	174.78	568192	EUR	
25/02/2025 00:00	174.14	175.72	173.6	175.5	684357	EUR	
26/02/2025 00:00	175.52	176.62	175.14	175.94	540837	EUR	
27/02/2025 00:00	175.52	175.9	173.76	174.54	708593	EUR	
28/02/2025 00:00	173.94	176.86	173.8	176.62	1512075	EUR	
03/03/2025 00:00	176.06	180.6	174.88	179.68	921465	EUR	
04/03/2025 00:00	177.8	179.14	176.7	177.86	919593	EUR	
05/03/2025 00:00	179.06	181.56	178.16	180.92	1002425	EUR	
06/03/2025 00:00	181.84	182.2	177.94	180.5	1067334	EUR	
07/03/2025 00:00	180.26	180.54	178.46	180.3	1094217	EUR	
10/03/2025 00:00	181.66	184.78	180.32	183.26	1242834	EUR	
11/03/2025 00:00	184.04	185.78	177.58	177.58	1259756	EUR	
12/03/2025 00:00	179.32	181.7	178.64	179.7	695102	EUR	
13/03/2025 00:00	178.96	180.9	178.46	179.28	650200	EUR	
14/03/2025 00:00	179.02	181.52	178.78	180.28	738751	EUR	
17/03/2025 00:00	180.94	181.58	179.34	180.5	630310	EUR	
18/03/2025 00:00	180.56	181.18	179.52	179.98	801845	EUR	
19/03/2025 00:00	179.58	180.78	178.96	180.14	515136	EUR	
20/03/2025 00:00	179.96	180.4	177.46	177.78	719731	EUR	
21/03/2025 00:00	177.98	178.48	176.82	177.52	1559028	EUR	
24/03/2025 00:00	179.22	179.86	177.12	177.34	826848	EUR	
25/03/2025 00:00	177.88	179.72	177.8	178.72	700623	EUR	
26/03/2025 00:00	178.88	178.96	176.06	176.74	658313	EUR	
27/03/2025 00:00	176.04	177.1	175.26	176.44	626214	EUR	
28/03/2025 00:00	176.16	177.32	175.62	176.32	931921	EUR	
31/03/2025 00:00	175.24	176.12	174.24	175.14	1078173	EUR	
01/04/2025 00:00	175.98	177.56	175.18	177.12	1031406	EUR	
02/04/2025 00:00	176.24	178.22	176	178.12	894182	EUR	
03/04/2025 00:00	175.2	177.32	173.1	174.3	1245580	EUR	
04/04/2025 00:00	174	178.14	173.2	173.2	1933922	EUR	
07/04/2025 00:00	166.02	169.32	160.22	160.6	2510951	EUR	
08/04/2025 00:00	163.2	167.24	161.72	166.02	1436404	EUR	
09/04/2025 00:00	162.82	164.18	159.06	160.72	1343973	EUR	
10/04/2025 00:00	170	171.38	167	167	1454458	EUR	
11/04/2025 00:00	168	169.28	164.66	168.34	988773	EUR	
14/04/2025 00:00	171.08	171.46	169.64	170.6	730357	EUR	
15/04/2025 00:00	171	174.7	170.68	174.26	698457	EUR	
16/04/2025 00:00	174.26	175	173.38	174.68	702346	EUR	
17/04/2025 00:00	174.88	175.26	172.78	173.18	701724	EUR	
22/04/2025 00:00	174	175.36	173.08	174.88	714581	EUR	
23/04/2025 00:00	176.62	176.64	173.18	174.7	880212	EUR	
24/04/2025 00:00	174.76	179.48	174.2	178.58	674312	EUR	
25/04/2025 00:00	178.8	179.74	178.02	178.44	687114	EUR	
28/04/2025 00:00	178.58	179.68	177.94	178.2	624348	EUR	
29/04/2025 00:00	177.48	179.26	176.56	178.82	636052	EUR	
30/04/2025 00:00	179.08	180.96	178.72	180.56	1096986	EUR	
02/05/2025 00:00	186.2	186.22	182.98	185.24	1194609	EUR	
05/05/2025 00:00	185.1	185.64	182.82	183.92	713244	EUR	
06/05/2025 00:00	184.2	184.92	182.98	183.48	604896	EUR	
07/05/2025 00:00	182.42	183.16	181.06	182.52	717103	EUR	
08/05/2025 00:00	182.62	183.22	181.6	182.72	648974	EUR	
09/05/2025 00:00	183.5	184.5	183.2	183.9	666208	EUR	
12/05/2025 00:00	185	186.18	180.8	181.28	1126850	EUR	
13/05/2025 00:00	181.1	182.6	180.8	182.12	587863	EUR	
14/05/2025 00:00	181.42	182.8	180.72	182.8	740408	EUR	
15/05/2025 00:00	183	185.64	182.76	185.36	597237	EUR	
16/05/2025 00:00	186.3	187.12	185.76	186.64	981080	EUR	
19/05/2025 00:00	183.36	185.1	183.12	185.08	577493	EUR	
